,accuracy,precision,recall sensitivity,specificity,f1,roc auc,false positive rate,false negative rate,tn,fp,fn,tp
Validation Tuned Graph Ensemble,0.8627717391304348,0.6840390879478827,0.9813084112149533,0.814176245210728,0.8061420345489443,0.9835821964407204,0.18582375478927204,0.018691588785046728,425.0,97.0,4.0,210.0
Dynamic GCN,0.8478260869565217,0.659375,0.985981308411215,0.7911877394636015,0.7902621722846442,0.9818097181938625,0.20881226053639848,0.014018691588785047,413.0,109.0,3.0,211.0
SVM RBF EEG Features,0.8614130434782609,0.7434782608695653,0.7990654205607477,0.8869731800766284,0.7702702702702703,0.9042682708489993,0.11302681992337164,0.20093457943925233,463.0,59.0,43.0,171.0
Dynamic GAT,0.8288043478260869,0.6317365269461078,0.985981308411215,0.764367816091954,0.7700729927007299,0.9852651555842017,0.23563218390804597,0.014018691588785047,399.0,123.0,3.0,211.0
MLP EEG Features,0.8097826086956522,0.6075581395348837,0.9766355140186916,0.7413793103448276,0.7491039426523297,0.9738156622623269,0.25862068965517243,0.02336448598130841,387.0,135.0,5.0,209.0
Hybrid DPC GAT alpha 0.5,0.8084239130434783,0.6051873198847262,0.9813084112149533,0.7375478927203065,0.7486631016042781,0.9709331471335984,0.2624521072796935,0.018691588785046728,385.0,137.0,4.0,210.0
Patient Calibrated GAT alpha 0.75,0.7975543478260869,0.590027700831025,0.9953271028037384,0.7164750957854407,0.7408695652173913,0.9830092741791099,0.2835249042145594,0.004672897196261682,374.0,148.0,1.0,213.0
Logistic Regression EEG Features,0.8355978260869565,0.7030567685589519,0.7523364485981309,0.8697318007662835,0.7268623024830699,0.8757564364235327,0.13026819923371646,0.24766355140186916,454.0,68.0,53.0,161.0
Static GCN,0.7717391304347826,0.5602094240837696,1.0,0.6781609195402298,0.7181208053691275,0.9816217280767716,0.3218390804597701,0.0,354.0,168.0,0.0,214.0
Patient Calibrated GAT alpha 2.0,0.7717391304347826,0.5605263157894737,0.9953271028037384,0.6800766283524904,0.7171717171717171,0.9815143051527196,0.31992337164750956,0.004672897196261682,355.0,167.0,1.0,213.0
Hybrid DPC GAT alpha 0.75,0.7676630434782609,0.5567282321899736,0.985981308411215,0.6781609195402298,0.7116357504215851,0.9679700648118309,0.3218390804597701,0.014018691588785047,354.0,168.0,3.0,211.0
Patient Calibrated GAT alpha 0.5,0.7459239130434783,0.5336658354114713,1.0,0.6417624521072797,0.6959349593495935,0.9851398288394744,0.35823754789272033,0.0,335.0,187.0,0.0,214.0
Patient Calibrated GAT alpha 1.0,0.7445652173913043,0.5323383084577115,1.0,0.6398467432950191,0.6948051948051948,0.981344218856304,0.36015325670498083,0.0,334.0,188.0,0.0,214.0
Patient Calibrated GAT alpha 0.25,0.7404891304347826,0.528395061728395,1.0,0.6340996168582376,0.691437802907916,0.9818902853869015,0.36590038314176243,0.0,331.0,191.0,0.0,214.0
Hybrid DPC GAT alpha 1.5,0.7432065217391305,0.5314861460957179,0.985981308411215,0.6436781609195402,0.690671031096563,0.9466376624771726,0.3563218390804598,0.014018691588785047,336.0,186.0,3.0,211.0
Hybrid DPC GAT alpha 2.0,0.7404891304347826,0.5288220551378446,0.985981308411215,0.6398467432950191,0.6884176182707994,0.9516238765352527,0.36015325670498083,0.014018691588785047,334.0,188.0,3.0,211.0
Hybrid DPC GAT alpha 1.0,0.7364130434782609,0.5248756218905473,0.985981308411215,0.6340996168582376,0.685064935064935,0.9711479929817023,0.36590038314176243,0.014018691588785047,331.0,191.0,3.0,211.0
Random Forest EEG Features,0.7241847826086957,0.5145888594164456,0.9065420560747663,0.6494252873563219,0.6565143824027073,0.9283757653883338,0.3505747126436782,0.09345794392523364,339.0,183.0,20.0,194.0
Patient Calibrated GAT alpha 1.5,0.6616847826086957,0.46220302375809935,1.0,0.5229885057471264,0.6322008862629247,0.980807104236044,0.47701149425287354,0.0,273.0,249.0,0.0,214.0
Hybrid DPC GAT alpha 0.25,0.6630434782608695,0.46304347826086956,0.9953271028037384,0.5268199233716475,0.6320474777448071,0.9701722347548967,0.4731800766283525,0.004672897196261682,275.0,247.0,1.0,213.0
